Algorithm,Score1,Score2,Score,Rank
jSO,4.9689E+01,4.7076E+01,9.6765E+01,2
MM,4.5956E+01,4.0116E+01,8.6073E+01,6
IDEN,2.9850E+01,2.7679E+01,5.7529E+01,7
RBI,3.7925E+00,3.3612E+01,3.7404E+01,8
LLSPA,4.6438E+01,5.0000E+01,9.6438E+01,4
DES,4.5935E+01,4.3202E+01,8.9137E+01,5
DYYPO,5.9337E-01,1.7031E+01,1.7624E+01,12
TFL,2.8731E-02,1.6246E+01,1.6275E+01,13
PPSO,3.9254E+00,1.7355E+01,2.1281E+01,11
MOS11,1.1085E+01,1.9305E+01,3.0390E+01,10
MOS13,1.8942E+01,1.7343E+01,3.6285E+01,9
LSCNE,4.6816E+01,4.9743E+01,9.6558E+01,3
EBO,5.0000E+01,4.8012E+01,9.8012E+01,1